tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
64,64,128,1,2,2.56473,334925,0.33851324,
128,128,32,8,2,2.56967,334282,0.337863352,
128,64,128,1,1,2.57388,333735,0.337310491,
128,128,128,1,8,2.57733,333288,0.336858702,
64,64,64,1,2,2.58148,332752,0.33631696,
128,128,32,1,16,2.59699,330765,0.334308672,
256,64,16,1,4,2.60159,330181,0.333718415,
128,128,32,8,1,2.61779,328137,0.331652517,
128,128,128,2,8,2.62543,327183,0.330688296,
64,128,16,8,2,2.62614,327093,0.330597332,
128,128,128,4,1,2.62888,326753,0.330253689,
64,256,64,4,1,2.63595,325876,0.329367293,
64,256,64,2,8,2.64521,324736,0.32821508,
64,64,32,1,4,2.64831,324355,0.327829998,
64,256,16,2,4,2.64926,324239,0.327712755,
128,256,32,1,1,2.65589,323430,0.326895088,
256,64,128,1,4,2.66808,321952,0.325401253,
128,128,128,2,1,2.67081,321623,0.325068729,
128,128,128,2,4,2.68491,319933,0.323360623,
64,128,16,8,1,2.6934,318925,0.322341823,
128,128,128,4,2,2.69989,318158,0.321566606,
64,64,32,1,8,2.70104,318024,0.32143117,
64,64,32,2,4,2.70608,317431,0.320831817,
128,256,16,8,1,2.70899,317090,0.320487164,
128,128,128,2,2,2.71378,316530,0.319921164,
64,64,32,2,2,2.72191,315585,0.31896604,
64,64,64,2,1,2.72286,315475,0.318854862,
256,64,16,4,2,2.72643,315062,0.318437437,
64,64,32,2,8,2.73126,314504,0.317873459,
128,128,16,1,2,2.73696,313849,0.317211441,
64,64,32,4,4,2.7374,313799,0.317160906,
64,64,32,4,2,2.75272,312053,0.3153962,
256,128,16,1,1,2.76372,310811,0.314140893,
64,64,32,4,1,2.77044,310057,0.313378815,
128,128,128,1,16,2.77862,309144,0.312456034,
128,128,32,16,1,2.77951,309045,0.312355973,
64,64,32,8,2,2.78029,308958,0.312268041,
128,128,32,4,1,2.78422,308522,0.31182737,
64,256,16,2,1,2.78804,308100,0.311400849,
256,64,128,1,8,2.7955,307277,0.310569032,
64,128,16,16,1,2.79591,307232,0.31052355,
64,64,32,1,2,2.79729,307081,0.310370932,
