N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
1024,1024,1024,2048,0.0791034,0.0783082,.1574116
1024,1024,1024,4096,0.0794374,0.0913331,.1707705
1024,1024,1024,8192,0.0789331,0.223245,.3021781
1024,1024,2048,128,0.152669,0.0769674,.2296364
1024,1024,2048,1024,0.152498,0.0796989,.2321969
1024,1024,2048,2048,0.152691,0.0791731,.2318641
1024,1024,2048,4096,0.152536,0.0912067,.2437427
1024,1024,2048,8192,0.152582,0.224514,.377096
1024,1024,4096,128,0.30009,0.0771158,.3772058
1024,1024,4096,1024,0.299753,0.07944,.379193
1024,1024,4096,2048,0.300158,0.0789818,.3791398
1024,1024,4096,4096,0.300216,0.0917674,.3919834
1024,1024,4096,8192,0.299857,0.223129,.522986
1024,1024,8192,128,1.08059,0.0767706,1.1573606
1024,1024,8192,1024,1.08238,0.0794202,1.1618002
1024,1024,8192,2048,1.08018,0.0794064,1.1595864
1024,1024,8192,4096,1.08106,0.092015,1.173075
1024,1024,8192,8192,1.08164,0.22419,1.30583
1024,2048,128,128,0.0132733,0.0779469,.0912202
1024,2048,128,1024,0.0133859,0.0786573,.0920432
1024,2048,128,2048,0.0134118,0.0914813,.1048931
1024,2048,128,4096,0.0132426,0.208944,.2221866
1024,2048,128,8192,0.0133827,0.439668,.4530507
1024,2048,1024,128,0.0791165,0.0777488,.1568653
1024,2048,1024,1024,0.0786621,0.0788253,.1574874
1024,2048,1024,2048,0.0787958,0.091967,.1707628
1024,2048,1024,4096,0.0788742,0.20852,.2873942
1024,2048,1024,8192,0.0791434,0.439594,.5187374
1024,2048,2048,128,0.151966,0.078031,.229997
1024,2048,2048,1024,0.152245,0.0793661,.2316111
1024,2048,2048,2048,0.152084,0.0912688,.2433528
1024,2048,2048,4096,0.151915,0.209228,.361143
1024,2048,2048,8192,0.15215,0.441053,.593203
1024,2048,4096,128,0.298648,0.0779754,.3766234
1024,2048,4096,1024,0.296981,0.079376,.376357
1024,2048,4096,2048,0.296972,0.0914387,.3884107
1024,2048,4096,4096,0.298227,0.208438,.506665
1024,2048,4096,8192,0.296169,0.441756,.737925
1024,2048,8192,128,1.07586,0.0781904,1.1540504
1024,2048,8192,1024,1.07736,0.0792867,1.1566467
1024,2048,8192,2048,1.07834,0.0913104,1.1696504
1024,2048,8192,4096,1.07972,0.209103,1.288823
1024,2048,8192,8192,1.07907,0.44176,1.52083
1024,4096,128,128,0.0159776,0.0812128,.0971904
1024,4096,128,1024,0.0158394,0.0914557,.1072951
1024,4096,128,2048,0.0158342,0.201483,.2173172
1024,4096,128,4096,0.0160659,0.444774,.4608399
1024,4096,128,8192,0.0158122,0.842137,.8579492
1024,4096,1024,128,0.0911926,0.0814502,.1726428
